#label len H_moment C C_dens A_index Aro B_index H_ratio I_index Iep Helix
-1 8 0.136666 0 0.00108365 72.5 0.125 -0.6075 0.25 81.4125 10.0254 0
-1 14 0.425462 8 0.00464551 0 0.0714286 8.14143 0 180.771 12.8105 0.285714
1 25 0.275825 0 7.48805e-05 171.2 0 -0.7964 0.56 29.316 7.84375 0.32
1 15 0.346313 1 0.00112309 175.333 0.0666667 -1.948 0.666667 -1.98667 8.91309 0.4
-1 38 0.0925622 2 0.000686831 38.6842 0.105263 1.17211 0.421053 58.5 8.12769 0.157895
-1 20 0.309619 2 0.000924617 112 0.15 -0.073 0.35 19.85 9.97949 0.15
1 20 0.538983 3 0.0014239 141.5 0.05 0.5525 0.45 41.69 11.3926 0.25
-1 38 0.333217 -6 -0.00145983 82.1053 0.0789474 2.73184 0.263158 59.9658 3.79883 0.789474
-1 6 0.327753 -1 -0.00136256 195 0.166667 -0.735 0.5 8.33333 3.15039 0
1 28 0.029912 0 -0.000135583 62.5 0.107143 -0.0225 0.464286 20.9143 5.82031 0
-1 12 0.619068 1 0.0013068 138.333 0.166667 0.7575 0.5 45.7833 10.0669 0.666667
1 27 0.254014 4 0.00169045 115.926 0 0.59963 0.518519 19.9037 10.5127 0.592593
1 30 0.0796425 5 0.00214579 53 0 0.685 0.466667 58.5133 11.074 0.5
1 21 0.63342 5 0.00290509 140 0 -0.471429 0.571429 -26.8619 11.374 0.761905
1 20 0.115156 5 0.00250938 53.5 0.05 2.823 0.3 41.37 10.9443 0
-1 17 0.539455 4 0.00251078 74.7059 0.176471 0.52 0.352941 -5.47647 11.2788 0.529412
-1 31 0.520023 -1 -0.000522387 88.0645 0 3.45839 0.258065 77.9032 4.80371 0.935484
1 11 1.14928 4 0.00315213 141.818 0.181818 4.51 0.454545 211.545 12.7021 0.818182
-1 40 0.180356 3 0.000691842 58.5 0.075 2.44475 0.275 4.58 10.3879 0.225
-1 21 0.196502 -2 -0.000971513 88.0952 0.0952381 0.683333 0.47619 7.01905 2.98438 0.380952
-1 47 0.176389 4 0.00086589 18.7234 0.0851064 3.34574 0.340426 67.0277 8.34229 0
1 15 0.395139 3 0.00245242 59.3333 0 4.55133 0.4 106.107 12.1157 0.733333
1 41 0.244056 2 0.000452814 88.0488 0.0731707 0.761707 0.487805 16.0512 8.83008 0.682927
-1 20 0.747403 4 0.00233936 142.5 0 1.568 0.75 25.3 12.7021 0.9
-1 18 0.236547 0 -2.06682e-06 146.667 0.166667 -2.01278 0.666667 51.9667 6 0.722222
-1 8 0.774747 2 0.00309299 243.75 0 -0.99375 0.625 -33.7 10.9868 0
1 17 0.5238 2 0.00167862 154.706 0.0588235 -0.608235 0.647059 -0.576471 10.9868 0.705882
-1 35 0.236669 0 2.52886e-05 92 0.0571429 2.13057 0.371429 28.9029 7.6875 0.657143
1 32 0.254949 5 0.00137833 91.25 0.0625 1.565 0.40625 3.15 10.7163 0.40625
-1 59 0.123299 6 0.000865089 46.1017 0.101695 2.91576 0.254237 43.5203 9.03271 0.0338983
-1 8 0.141747 0 -5.59558e-06 171.25 0 -2.21125 0.625 -12.475 6 0
-1 20 0.1567 -1 -0.000465773 97.5 0.05 0.8175 0.4 -1.585 3.15039 0
-1 15 0.175928 3 0.00165583 26 0.333333 2.366 0.2 58.834 10.2744 0
-1 11 0.235624 6 0.00432623 26.3636 0.0909091 10.4373 0.0909091 314.673 12.2339 0.181818
-1 18 0.68169 4 0.00211018 124.444 0.166667 1.96 0.444444 72.9 11.6885 0.611111
-1 13 0.622271 0 0.000662974 150 0.153846 -0.806154 0.461538 -2.07692 9.83984 0.230769
1 27 0.373925 3 0.00143734 148.519 0.037037 -0.877407 0.666667 10.3815 11.1567 0.740741
1 42 0.30289 5 0.00125609 67.1429 0.047619 1.18714 0.380952 48.7929 9.22656 0
-1 30 0.183796 1 0.000332636 104 0 1.25933 0.466667 69.9733 8.1084 0.266667
-1 29 0.223463 -3 -0.00115259 94.1379 0.103448 2.1131 0.344828 34.8724 4.00757 0.310345
-1 19 0.325535 2 0.00102535 113.158 0.0526316 0.242105 0.473684 4.52632 9.85938 0.368421
1 18 1.01829e-16 5 0.00323986 146.667 0 -0.248333 0.5 -42.4389 11.374 0.166667
1 12 0.565875 3 0.00213548 89.1667 0.416667 2.065 0.25 90.4833 12.4131 0.0833333
1 15 0.316457 3 0.00245161 78.6667 0 2.304 0.4 3.67333 11.1055 0.733333
1 25 0.287698 2 0.000823178 159.6 0.04 -0.8808 0.56 19.908 10.4224 0.36
1 21 0.302068 1 0.000946377 120.952 0.047619 -1.25762 0.571429 18.319 8.91309 0.142857
-1 18 0.563388 -1 -0.000474385 91.6667 0.222222 1.26611 0.388889 27.8556 4.01953 0
-1 18 0.722887 5 0.00263661 49.4444 0.222222 1.95111 0.444444 38.9 12.4351 0.833333
-1 9 0.266582 0 0.000689407 130 0.555556 -1.27667 0.333333 88.9333 10.7422 0.222222
-1 44 0.195688 2 0.00055516 44.3182 0.113636 1.86909 0.340909 41.9273 8.1189 0.159091
-1 47 0.108329 5 0.00104775 51.9149 0.0425532 2.1766 0.361702 73.8064 8.56616 0.148936
-1 17 0.305227 1 0.00100128 183.529 0.0588235 -0.229412 0.529412 56.9118 11.4004 0.823529
1 10 0.597144 2 0.00259422 195 0 0.305 0.5 24.62 11.5723 0.7
-1 19 0.279104 -4 -0.00192626 117.895 0.0526316 0.901579 0.473684 79.0526 2.61914 0.0526316
-1 28 0.174176 -1 -0.000583569 101.071 0.178571 -0.107143 0.357143 14.85 3.72852 0.142857
1 25 0.374262 5 0.00221188 124.8 0.08 -0.1484 0.44 16.408 11.374 0.4
1 20 0.579906 10 0.00430762 97.5 0.05 4.1095 0.3 53.665 12.6235 0.8
